num_ranks,num_phases,epsilon,noise_model,mean_makespan,std_makespan,ci95_makespan,mean_idle_waste,std_idle_waste,mean_amplification,std_amplification,mean_idle_fraction,mean_scaling_efficiency
64,10,0.1000,BURSTY,16.455800,0.404804,0.144857,336.289200,25.317171,0.645580,0.040480,0.318930,0.608049
64,10,0.2000,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
64,10,0.2000,GAUSSIAN,15.453667,0.320287,0.114613,304.645700,20.980267,0.545367,0.032029,0.307740,0.647361
64,10,0.2000,LOGNORMAL,16.443133,0.535406,0.191592,368.222567,34.663627,0.644313,0.053541,0.349246,0.608765
64,10,0.2000,BURSTY,21.873200,0.998164,0.357189,674.395600,61.362139,1.187320,0.099816,0.480738,0.458152
64,50,0.0100,NONE,55.001000,0.000000,0.000000,0.000000,0.000000,0.100020,0.000000,0.000000,0.909074
64,50,0.0100,GAUSSIAN,54.458200,0.078167,0.027972,15.546667,5.486886,0.089164,0.001563,0.004459,0.918137
64,50,0.0100,LOGNORMAL,54.482933,0.067715,0.024231,16.595333,5.545235,0.089659,0.001354,0.004758,0.917720
64,50,0.0100,BURSTY,55.636300,0.041534,0.014863,33.506000,2.562788,0.112726,0.000831,0.009409,0.898694
64,50,0.0500,NONE,55.001000,0.000000,0.000000,0.000000,0.000000,0.100020,0.000000,0.000000,0.909074
64,50,0.0500,GAUSSIAN,59.366033,0.290031,0.103786,408.510967,18.552511,0.187321,0.005801,0.107499,0.842252
64,50,0.0500,LOGNORMAL,59.717433,0.286355,0.102471,432.036267,18.420468,0.194349,0.005727,0.113022,0.837295
64,50,0.0500,BURSTY,67.143233,0.479083,0.171438,772.505767,30.451822,0.342865,0.009582,0.179736,0.744713
64,50,0.1000,NONE,55.001000,0.000000,0.000000,0.000000,0.000000,0.100020,0.000000,0.000000,0.909074
64,50,0.1000,GAUSSIAN,65.092633,0.359762,0.128739,770.691267,21.147460,0.301853,0.007195,0.184978,0.768159
64,50,0.1000,LOGNORMAL,66.215767,0.424131,0.151773,842.927200,26.142677,0.324315,0.008483,0.198877,0.755137
